Tên,Đánh giá,Thời gian,Review,sentiment,pain_point_flag,category,summary
Hồng Nhung,5 sao,một năm trước trên,"rất thích không khí tại khách sạn
Phòng rất sạch sẽ, thoải mái, giường và gối rất mềm mại, êm ái
Các bạn nhân viên cực kì thân thiện và niềm nở …",Positive,False,Cleanliness,"Clean, comfortable rooms with soft bedding and friendly staff."
Trung Nguyen,5 sao,một năm trước trên,"Khách sạn có không gian rộng rãi. Phòng rộng và đẹp, đầy đủ tiện nghi. Phòng có view nhìn ra bờ sông. Nhân viên dễ thương, thân thiện. Bãi giữ xe rộng rãi. Xứng đáng với giá tiền. Gần công ty nên tiện đi lại.",Positive,False,Room_Amenities,"Spacious room with river view, friendly staff, and convenient parking."
Ngọc Ánh,5 sao,một năm trước trên,"tôi đã có trải nghiệm tuyệt vời tại đây vào cuối tuần , khách sạn có view đẹp , nhân viên thân thiện dễ thương , chắc chắn tôi sẽ quay lại nếu có dịp",Positive,False,Boutique_Experience,Great weekend experience with beautiful views and friendly staff.
TRƯƠNG THANH PHƯƠNG,5 sao,Thời gian chỉnh sửa: một năm trước trên,"Sau nhiều lần công tác tại Tp. Hồ Chí Minh đây là nơi đầu tiên tôi lựa chọn để nghỉ ngơi trong những chuyến công tác. Nhân viên ở đây cực kì thân thiện và nhiệt tình. Phòng ốc rộng rãi đầy đủ tiện nghi, phòng luôn trong trạng thái sạch sẽ sau khi tôi tan làm về. Một trải nghiệm tuyệt vời !",Positive,False,Staff_Service,"Excellent service, clean and spacious rooms, ideal for business trips."
Châu,5 sao,một năm trước trên,"Phòng ở đây rộng và sạch sẽ, tuy nhiên phải đi taxi khoảng 5 phút vào trung tâm. Giá phòng rất rẻ, buổi tối view sông rất đẹp.",Positive,True,Location_and_Access,"Clean and spacious rooms with good views, but slightly far from the city center."
Toan Trinh Xuan,5 sao,2 năm trước trên,"Phòng rất rộng và đẹp (1,4tr) có bồn tắm.
Có buffet sáng tầng 12, quầy bar dưới sảnh.
Chỗ đậu xe hơi trước cửa. …",Positive,False,Room_Amenities,"Spacious room with bathtub, breakfast buffet, and convenient parking."
Han Dinh,5 sao,4 tháng trước trên,"Không gian đẹp, nhân viên dễ thương ✨",Positive,False,Boutique_Experience,Beautiful space and friendly staff.
tt_ hoa,5 sao,một năm trước trên,"Phòng rộng và nội thất ổn, thiết kế hiện đại.  So giá phòng trung bình thì được coi là một deal tốt. Chỉ vị trí thì ko được trung tâm lắm.",Positive,True,Location_and_Access,"Good value for money and modern design, but location is not central."
Ngọc Dung Dương,5 sao,2 năm trước trên,"Phòng rộng, đầy đủ tiện nghi, mới, sạch sẽ, yên tĩnh, view sông Sài Gòn. Điểm trừ phòng duy nhất là tv không phải smart tv, không xem được youtube hay netflix. Nhân viên chu đáo, dịch vụ tốt.",Positive,True,Room_Amenities,"Great room and service, but the TV lacks smart features like YouTube or Netflix."
Linh,5 sao,Thời gian chỉnh sửa: một năm trước trên,"Trải nghiệm tuyệt vời khi lưu trú tại Oakwood, lễ tân thân thiện, nhân viên làm phòng rất nhiệt tình, phòng rộng rãi thoáng mát, đồ ăn sáng buffet khá hợp khẩu vị, sẽ quay lại trong nhiều lần tiếp theo.",Positive,False,Staff_Service,Excellent stay with friendly staff and good breakfast buffet.
MrKendat0108,5 sao,2 năm trước trên,"Dịch vụ tốt, phòng view nhìn ra sông Sài Gòn rất đẹp. Khu vực lobby lounge rộng rãi, trang trí màu sắc sinh động. Sẽ quay lại lưu trú ở đây trong tương lai.",Positive,False,Boutique_Experience,"Good service, beautiful river view, and vibrant lobby area."
Vân Nguyễn,5 sao,một năm trước trên,"Khách sạn có view bờ sông rất đẹp, nhân viên rất thân thiện luôn hỗ trợ tôi lúc cần , phòng sạch sẽ , giường rất thoải mái , tôi đã ngủ rất ngon , tôi sẽ quay lại khi vào sài gòn lần tiếp theo",Positive,False,Boutique_Experience,"Excellent river view, friendly staff, clean room, and comfortable bed."
Mỹ Hoàng,1 sao,3 năm trước trên,"Ngoài chi phí phòng ra thì khách bắt buộc phải cọc 1,000,000 VND cho chi phí phát sinh trước khi nhận phòng. Khách nào cũng phải cọc theo quy định của khách sạn nhưng không hề có thông báo nào về việc này một cách công khai. Thậm chí khi …",Negative,True,Pricing_and_Fees,Lack of transparency regarding mandatory security deposit fees.
Mỹ Nhung Trần,5 sao,một năm trước trên,"Phòng view đẹp; dịch vụ tốt; nhân viên thân thiện, nhiệt tình. Sẽ quay lại vào lần đến Saigon tiếp theo",Positive,False,Boutique_Experience,"Good room view and friendly, helpful staff."
Nguyen Thi Mai Chi,4 sao,2 năm trước trên,"Mình có 2 đêm ở đây, đều đến muộn (11pm) và đi sớm (6am), với 2 trải nghiệm hoàn toàn khác biệt. Đêm đầu (10/7) mọi thứ hoàn hảo, bạn lễ tân cực kỳ support, dù đã muộn. Buổi thứ 2 (12/7), trải nghiệm hpanf toàn khác, bạn lễ tân đã làm mất …",Negative,True,Staff_Service,Inconsistent service quality; staff lost items during the second stay.
Lan anh Phạm,5 sao,3 năm trước trên,"Căn Studio Loft rất rộng rãi thoait mái cho gia đình, có khu vực bếp nhỏ nên mình có thể hâm đồ ăn cho e bé nhà mình thường xuyên. Buffet sáng trên tầng thượng có nhiều món và cảnh đẹp! nói chung mình rất hài lòng!",Positive,False,Room_Amenities,Spacious studio loft with kitchen facilities and a great rooftop breakfast.
Lê Quế Anh,5 sao,một năm trước trên,"Nhân viên chu đáo nhiệt tình dễ thương, phòng đẹp sạch sẽ. Không gian yên tĩnh, lần sau sẽ quay lại.",Positive,False,Cleanliness,"Attentive staff, clean rooms, and a quiet atmosphere."
Quỳnh Như Lưu,5 sao,3 năm trước trên,"Mình ở đúng ngày 20/10 nên được tặng bánh cupcake rất dễ thương hehe. Nhân viên thân thiện, check-in khá nhanh. Phòng rộng, đầy đủ tiện nghi và có view đẹp.",Positive,False,Boutique_Experience,"Thoughtful gesture with cupcake gift, fast check-in, and well-equipped room."
Boom Hùng,5 sao,một năm trước trên,"Oakwood Hotel & Apartments Saigion, Ung Văn Khiêm, Bình Thạnh,tphcm.

Tọa lạc tại vị trí nổi bật tại Quận Bình Thạnh, bên cạnh dòng sông Sài Gòn lịch …",Neutral,False,Location_and_Access,General description of the hotel's location by the Saigon River.
thao nguyen,5 sao,Thời gian chỉnh sửa: một năm trước trên,"Oakwood Hotel & Apartments Saigon là lựa chọn phù hợp cho những ai tìm kiếm không gian rộng rãi, tiện nghi hiện đại và dịch vụ chuyên nghiệp.",Positive,False,Others,"General recommendation for spacious, modern, and professional accommodation."
Duy Võ Đức,5 sao,2 năm trước trên,Các bạn lễ tân rất nhiệt tình và hiếu khách. Khách sạn ở vị trí thuận tiện gần trung tâm. Rất phù hợp để chọn làm nơi nghỉ ngơi khi công tác ở Sài Gòn. Sẽ quay lại vào các dịp tiếp theo,Positive,False,Location_and_Access,Helpful staff and convenient location suitable for business trips.
tuan Phan,5 sao,3 năm trước trên,"Mình đã có một trải nghiệm tuyệt vời tại đây, nhân viên thân thiện và luôn hỗ trợ mình xách hành lý. Phòng rất rộng rãi, mình chưa ở khách sạn nào mà phòng rộng vậy luôn! Ks cũng có dvu xe bus miễn phí tới quận 1 nữa. Nói chung là với giá phòng và dịch vụ như vậy thì hơn cả mong đợi của mình! Sẽ quay lại trong dịp tới!!",Positive,False,Boutique_Experience,"Excellent experience with spacious rooms, friendly staff, and convenient free shuttle service."
Thanh Nhàn,5 sao,một năm trước trên,"Thuận tiện đi lại, không gian ấm cúng, view đẹp, nhân viên thân thiện,  phòng sạch sẽ",Positive,False,Location_and_Access,"Convenient location, cozy atmosphere, nice view, and clean rooms."
Nguyễn Hiếu Nhi,5 sao,một năm trước trên,"tôi đã có trải nghiệm tuyệt vời tại đây vào cuối tuần , khách sạn có view đẹp , nhân viên thân thiện dễ thương , tôi sẽ quay lại đây cho lần kỳ nghỉ tiếp theo",Positive,False,Boutique_Experience,Great weekend stay with beautiful views and friendly staff.
Nguyễn Xuân Hậu,4 sao,2 năm trước trên,"Mỗi tháng tôi đều đi công tác tại Sài Gòn, và thường ở lại 3-7 ngày cho mỗi chuyến đi. Đây là lần đầu tôi viết đánh giá về 1 khách sạn, bởi vì đây là khách sạn đầu tiên mà tôi thực sự muốn review. …",Positive,False,Boutique_Experience,First time writing a review for a hotel because it was such a standout experience.
khanhlinh02 nguyen,5 sao,một năm trước trên,"Trải nghiệm tuyệt vời khi đến đây, phòng rộng rãi thoải mái, nhân viên khách sạn nhiệt tình thân thiện, sẽ quay lại trong thời gian tới",Positive,False,Room_Amenities,"Great experience with spacious, comfortable rooms and enthusiastic staff."
Lan Hương Nguyễn,5 sao,2 năm trước trên,"Mình đã có trải nghiệm rất tốt và thoải mái tại Oakwood. Phòng rộng, ks thiết kế đẹp so với giá tiền quá hợp lý. Vị trí hơi xa trung tâm nh bắt xe khá nhanh, ko bất tiện gì. Ấn tượng nhất anh nhân viên tiền sảnh tên Nguyên rất nhiệt tình, vui vẻ, dễ thương. Vote 5*",Positive,False,Location_and_Access,"Very good experience, spacious room, and great value, despite being slightly far from the center."
Hung Nguyen,5 sao,3 năm trước trên,"Phòng rộng, sạch, nhân viên thân thiện & nhiệt tình. Ks có tv lớn xem world cup ở sảnh và có snack nhẹ luôn, nói chung mình rất hài lòng.",Positive,False,Room_Amenities,"Spacious, clean rooms with friendly staff and thoughtful lobby amenities."
Nguyễn Thị Thùy Diễm,5 sao,một năm trước trên,"Khách sạn tuyệt vời, phòng đẹp view đẹp phòng rộng rãi, giường và gối rộng rãi thơm mềm, nhân dễ thương",Positive,False,Room_Amenities,"Excellent hotel with beautiful views, spacious rooms, and comfortable bedding."
Huỳnh Cát Tường,5 sao,một năm trước trên,"Phòng sạch sẽ, lễ tân lễ phép vui vẻ tuy nhiều lúc mình hỏi 1 số thứ lúc hơi khuya. Nói chung mọi người yên tâm sử dụng dịch vụ ở đây",Positive,False,Cleanliness,"Clean rooms and polite, helpful reception staff even late at night."
Nhi Le,5 sao,một năm trước trên,"Một trải nghiệm tuyệt vời, nhân viên thân thiện.
Khách sạn đẹp vị trí thuận tiện.
Chắc chắn sẽ quay lại.",Positive,False,Boutique_Experience,"Great experience, beautiful hotel, and convenient location."
Le Giang Nguyen,5 sao,2 năm trước trên,"Phòng rộng rãi, thoáng mát sạch sẽ, đầy đủ tiện nghi cần thiết như bếp, tivi, bồn tắm, quầy bar.... Rất phù hợp cho cả đi công tác và du lịch với con nhỏ. …",Positive,False,Room_Amenities,"Phòng rộng rãi, sạch sẽ và đầy đủ tiện nghi."
Thiên Kim Nguyễn,5 sao,3 năm trước trên,Mọi điểm mình đều thấy rất tốt. Từ nhân viên dưới sảnh rất chuyên nghiệp hỗ trợ vali mang lên phòng. Khi tới cọc 1triệu mình thấy ok. Mình đi intercon toàn cọc 5tr. Phòng ốc sạch và thơm. Đồ supplies của hãng La Bottega 5* rất tốt. Ăn sáng view đẹp. Đồ ăn đơn giản nhưng rất okila. Mình sẽ quay lại lần tới,Positive,False,Staff_Service,"Dịch vụ chuyên nghiệp, phòng sạch thơm và đồ dùng chất lượng."
Tín Quang,4 sao,3 năm trước trên,"Căn hộ studio rộng rãi và tiện nghi.
Giá cả tốt so với cơ sở vật chất.
Sảnh có quầy cà phê đẹp. …",Positive,False,Pricing_and_Fees,Căn hộ tiện nghi với giá cả hợp lý.
Hang Truong,5 sao,một năm trước trên,"Lần đầu mình trải nghiệm ở đây, không gian phòng rộng rãi, đầy đủ tiện nghi. Các bạn nhân viên rất dễ thương và nhiệt tìnhhh",Positive,False,Staff_Service,Không gian phòng tốt và nhân viên nhiệt tình.
Tường Bùi Ngọc Cát,5 sao,một năm trước trên,"Phòng ốc rộng rãi, yên tĩnh. Có nhà hàng ăn sáng ok. Trải nghiệm tuyệt vời cho 02 người",Positive,False,Noise_and_Quietness,"Phòng rộng rãi, yên tĩnh và có nhà hàng tốt."
do khac thanh,4 sao,2 năm trước trên,"Nhân viên nhiệt tình đặc biệt có bạn nguyên nv sảnh bê hành lý rất nhiệt tình
Khách sạn sạch sẽ sảnh đẹp
Nhược điểm tivi đời cũ không phải smart tivi
Wifi kém",Negative,True,Room_Amenities,Nhân viên nhiệt tình nhưng tivi đời cũ và wifi kém.
Hoa Nguyễn,5 sao,Thời gian chỉnh sửa: một năm trước trên,"Khách sạn quá tuyêt vời . Nhăn vien thân thien dễ thuong, nhiêt tình, phòng sach  thơm. View đẹp",Positive,False,Staff_Service,"Khách sạn tuyệt vời, nhân viên thân thiện và phòng sạch đẹp."
Hân Nguyễn,5 sao,10 tháng trước trên,"Một trải nghiệm tuyệt vời tại khách sạn, nhân viên rất tốt, chuyên nghiệp",Positive,False,Staff_Service,Trải nghiệm tuyệt vời với đội ngũ nhân viên chuyên nghiệp.
Hang Bui,4 sao,3 năm trước trên,"Phòng được dọn dẹp gọn gàng, sạch sẽ. Các phòng sẽ được dọn dẹp hàng ngày.
Nhân viên làm thủ tục check in check out nhanh chóng.",Positive,False,Cleanliness,Phòng sạch sẽ và thủ tục check-in/out nhanh chóng.
Hạnh Đinh,5 sao,3 năm trước trên,"Vô tình thấy ks trên maps, đọc bình luận thấy mn rì viu tốt, lại gần landmark nên book thử
Phòng căn hộ đầy đủ bếp núc, tiện nghi , bồn tắm, view đẹp, giường nằm rất thích …",Positive,False,Room_Amenities,Phòng căn hộ đầy đủ tiện nghi và view đẹp.
Quyen Nguyen,5 sao,Thời gian chỉnh sửa: một năm trước trên,"Nhân viên thân thiện 💕. Phòng sạch sẽ, thoáng đãng. View có thể ngắm pháo hoa …",Positive,False,Staff_Service,"Friendly staff, clean room, and great view."
MÁY THÊU VI TÍNH SWF SUNSTAR,5 sao,3 năm trước trên,"bên ngoài ko đẹp mắt nhưng bên trong sạch sẽ và thơm tho, thiết kế phòng cũng rất khoa học, giường thỏa mái êm ái",Positive,False,Room_Amenities,"Clean, fragrant, well-designed room with a comfortable bed."
thuận nguyễn,5 sao,3 năm trước trên,"Hài lòng. Phòng rộng, sạch sẽ và đẹp, đặc biệt là khu vực sảnh. Nhân viên thân thiện và hỗ trợ khách mang hành lí lên phòng. Ks gần khu vực Thảo Điền và Quận 1 nên tiện di chuyển.",Positive,False,Staff_Service,"Spacious, clean, and beautiful room with helpful staff and convenient location."
Phuong Nguyen,5 sao,Thời gian chỉnh sửa: 9 tháng trước trên,"Phòng ốc sạch sẽ, vị trí thuận lợi, nhân viên nhiệt tình vui vẻ mình sẽ quay lại",Positive,False,Cleanliness,"Clean room, convenient location, and enthusiastic staff."
Hanh Thuc,5 sao,một năm trước trên,"Lễ tân thân thiện, phục vụ tốt
Phòng sạch sẽ, thoáng mát
Lần sau mình sẽ tiếp tục sử dụng dịch vụ của Oakwood",Positive,False,Staff_Service,"Friendly reception, clean room, and good service."
Thuận Đoàn,5 sao,6 tháng trước trên,"Rất tuyệtt , một nơi lý tưởng",Positive,False,Boutique_Experience,An ideal and excellent place.
Kỳ Trân Trần,5 sao,2 năm trước trên,"Phòng quá đẹp, cực kỳ sạch sẽ.
Các bạn nhân viên quá nhiệt tình luôn. Cảm ơn bạn Nguyên và các bạn lễ tân. Rất ok luôn.",Positive,False,Staff_Service,"Beautiful, clean room with very enthusiastic staff."
Pham Linh,5 sao,3 năm trước trên,"Phòng rộng rãi, view sông khá đẹp
Nhân viên thân thiện nhiệt tình
Anh nhân viên hành lý tên Nguyên rất nhiệt tình hỗ trợ",Positive,False,Room_Amenities,Spacious room with a nice river view and helpful staff.
Hương Nguyễn,5 sao,một năm trước trên,"Nhân viên thân thiện, dễ thương. Ở sảnh và phòng mùi rất thơm dễ chịu.",Positive,False,Staff_Service,Friendly staff and pleasant scent in the lobby and room.
Nhàn Nguyễn,5 sao,một tháng trước trên,5 sao,Positive,False,Others,Five-star experience.
Trần Kiệt,5 sao,một năm trước trên,"Một nơi quá tuyệt vời để nghỉ dưỡng, rất đáng để mọi người lưu trú khi đến TP.HCM",Positive,False,Boutique_Experience,A wonderful place to stay in Ho Chi Minh City.
2838_Nguyễn Đình Trương,5 sao,một năm trước trên,"Nhân viên dễ thương và thân thiện, phòng ốc sạch sẽ và rộng rãi.",Positive,False,Staff_Service,"Friendly staff and clean, spacious rooms."
Khang Nguyen,5 sao,một năm trước trên,"Phòng đẹp, thoải mái, nhân viên cũng nhiệt tình nửa.",Positive,False,Room_Amenities,"Beautiful, comfortable rooms with enthusiastic staff."
Hảo Bùi,5 sao,6 tháng trước trên,Phòng rất thoải mái.,Positive,False,Room_Amenities,The room is very comfortable.
Thanh Mai,5 sao,3 năm trước trên,"Một trải nghiệm tuyệt vời. Nhân viên phục vụ rất tốt, luôn để ý từng yêu cầu của khách hàng.",Positive,False,Staff_Service,Excellent service and attentive staff.
NGUYEN THI NGOC LINH,5 sao,một năm trước trên,"Khách sạn đẹp, dịch vụ tốt, nhân viên thân thiện với khách hàng",Positive,False,Boutique_Experience,Beautiful hotel with good service and friendly staff.
Ha Nguyen,3 sao,5 tháng trước trên,Dọn phòng ko kỹ.,Negative,True,Cleanliness,The room cleaning was not thorough.
Hoàng Thị Hà 0041,5 sao,một năm trước trên,"ổn áp, phòng có view đẹp, có nhiều dịch vụ cần",Positive,False,Room_Amenities,Good experience with a nice view and necessary services.
Ntb Nguyen,5 sao,một năm trước trên,"khách sạn ok quá chừng, nv nhiệt tình, có cơ hội mình sẽ ghé tiếp",Positive,False,Boutique_Experience,"Great hotel with enthusiastic staff, would return."
Dự nguyễn,5 sao,một năm trước trên,"nhân viên thân thiện, View Lanmark xịn, Người yêu mình thích ở đây,....",Positive,False,Room_Amenities,Friendly staff and a great view of Landmark.
Hien Huynh,5 sao,một năm trước trên,"Phòng sạch sẽ, nhân viên thân thiện và nhiệt tình.",Positive,False,Cleanliness,"Phòng sạch sẽ, nhân viên thân thiện."
Vinh Bùi quốc,5 sao,2 năm trước trên,Dịch vụ rất tốt. Các bạn nhân viên rất lễ phép và nhiệt tình,Positive,False,Staff_Service,"Dịch vụ tốt, nhân viên lễ phép."
Phúc Huỳnh,5 sao,một năm trước trên,"Nhiệt tình hỗ trợ, phòng sạch, thoáng mát, quản lí đẹp trai",Positive,False,Staff_Service,"Nhân viên nhiệt tình, phòng sạch."
Hai Hoang,5 sao,một năm trước trên,"Phòng rộng rãi đa dạng, dịch vụ nhanh và thân thiện",Positive,False,Room_Amenities,"Phòng rộng, dịch vụ nhanh."
Hiền Nguyễn,1 sao,một tháng trước trên,Rất tệ. Lừa đảo. Đặt phòng trên áp thì đưa hình phòng sạch sẽ điều hoà. Nhưng khi đến nhận thì kh phải là phòng mà chỉ quây 1 tấm rèm vải cho 1 quạt con.,Negative,True,Others,"Phòng thực tế không giống quảng cáo, điều kiện tồi tệ."
Hanh Le,1 sao,một năm trước trên,thuê phòng thanh toán lúc 14h tới nhận phòng thì khoá cửa số điện thoại gọi không được.giờ ngồi ở ngoài đường,Negative,True,Staff_Service,Không thể liên lạc với khách sạn khi đến nhận phòng.
Vinh Tran,1 sao,7 năm trước trên,Chỉ 1 sao,Negative,True,Others,Đánh giá thấp.
tung thanh,3 sao,2 năm trước trên,Phòng cũng tạm ổn. Phù hợp cho 2 người thôi. Gia đình 4 người hơi chật. Chất lượng cho 3/5 sao.,Neutral,False,Room_Amenities,"Phòng hơi chật cho gia đình, chất lượng trung bình."
Dòng Nhạc Vàng,3 sao,2 năm trước trên,Không xứng với giá 500k ngày. Phòng dây điện máy nóng lạnh hở. Nhìn nguy hiểm.,Negative,True,Pricing_and_Fees,"Giá cao so với chất lượng, cơ sở vật chất nguy hiểm."
Shop Ti&Ti,3 sao,Thời gian chỉnh sửa: 7 năm trước trên,Tạm được.,Neutral,False,Others,Trải nghiệm tạm được.
Aleksandr Volkov,3 sao,8 năm trước trên,"Khách sạn tốt và phục vụ thân thiện, nhưng vị trí không thuận lợi. Khu vực này khá nghèo và bạn có nguy cơ bị cướp. Tốt nhất nên đi taxi để di chuyển.",Negative,True,Location_and_Access,Good service but poor location with safety concerns.
Hoang Vu,3 sao,Thời gian chỉnh sửa: 7 năm trước trên,Được rồi,Neutral,False,,Average experience.
Khiêm,4 sao,5 năm trước trên,Phòng tương đối sạch - giá cả bình dân với khu vực,Positive,False,Cleanliness,Clean room and affordable price.
Tùng Huỳnh Thanh,4 sao,7 năm trước trên,"Nha nghi thoai mai, co chu than thien",Positive,False,Boutique_Experience,Comfortable stay with friendly owner.
viên tôn,4 sao,2 tháng trước trên,Ks 0 có nơi đổ xe ôtô đường nhỏ,Negative,True,Location_and_Access,Lack of parking space and narrow street access.
遥彼方,4 sao,Thời gian chỉnh sửa: 7 năm trước trên,"Khách sạn nằm ở quận Bình Thạnh, giáp quận 1. Khách sạn mới và nội thất sạch sẽ. Nhân viên rất thân thiện. Có chợ gần đó nên bạn sẽ không gặp khó khăn gì trong việc tìm đồ ăn. Cấm hút thuốc trong khách sạn, nhưng bạn có thể hút thuốc trên …",Positive,False,Cleanliness,"New, clean hotel with friendly staff and convenient location."
Hung Phan,4 sao,9 năm trước trên,Tốt :),Positive,False,,Good experience.
Jamie Xen,4 sao,8 năm trước trên,phòng sạch sẽ,Positive,False,Cleanliness,The room is clean.
Huong Nguyen,5 sao,11 tháng trước trên,"Phòng ngủ đầy đủ tiện nghi, sạch sẽ, yên tĩnh.
Chủ nhà rất thân thiện và nhiệt tình. Hơn 3 tuần ở đây tôi có cảm giác như được ở trong chính ngôi nhà của mình. …",Positive,False,Room_Amenities,"Well-equipped, clean, quiet room with a very friendly host."
Kỷ Hoàng,5 sao,2 năm trước trên,"Phòng ổn,giá chấp nhận được, chị chủ nhẹ nhàng thoải mái. ở vị trí khá trung tâm dễ dàng di chuyển. Đi bộ 50m là có siêu thị, hiệu thuốc, ăn uống. Các tiệm thuê xe máy cũng ở loanh quanh và giao xe tận nơi. …",Positive,False,Location_and_Access,"Good room, reasonable price, and convenient central location."
Ken Mr,5 sao,9 tháng trước trên,"Hotel có vị trí đúng chỗ mình cần nên ở, phòng khá bình thường nên ko có ý kiến gì",Neutral,False,Location_and_Access,"The location was convenient, but the room was average."
Phúc Hoàng,5 sao,3 năm trước trên,"Đã trải nghiệm , dịch vụ tốt!
Lần sau sẽ quay lại",Positive,False,Staff_Service,Good service and would return.
Đạt Mim Cutee,5 sao,2 năm trước trên,Phòng ok,Positive,False,Room_Amenities,The room was acceptable.
Simon Titsch,1 sao,10 tháng trước trên,"Tôi không hiểu sao lại được đánh giá trên 4 sao. Chúng tôi đã đặt phòng đôi. Phòng tắm đầy nấm mốc. Trần nhà, các góc xung quanh bồn rửa và vòi sen đều bị ảnh hưởng nặng. …",Negative,True,Cleanliness,Bathroom was full of mold on the ceiling and around the sink and shower.
F,1 sao,10 tháng trước trên,"Chúng tôi đặt phòng ở nhà nghỉ này vì họ hứa sẽ cho chúng tôi sử dụng phòng tắm sau khi trả phòng qua WhatsApp, vì chuyến bay của chúng tôi đến tận tối muộn. Khi chúng tôi hỏi vào ngày khởi hành, chúng tôi được thông báo là không thể tắm. Phòng không được sạch sẽ lắm. Có vẻ như họ chỉ thay ga trải giường. Phòng tắm thì bị mốc.",Negative,True,Staff_Service,"Staff failed to honor a promise regarding shower access, and the room was unclean with mold in the bathroom."
Alan Collins,1 sao,một năm trước trên,"Tôi nghĩ nơi này cuối cùng sẽ trở thành ký túc xá chỉ dành cho nữ, bởi vì nam giới không được chào đón ở các khu vực chung, không được cung cấp quạt, hoặc không được đối xử tôn trọng chút nào bởi các nữ sinh, những người đang dần chiếm lĩnh toàn bộ nơi này theo ý thích của họ.",Negative,True,Boutique_Experience,Complaints about discriminatory treatment and lack of respect towards male guests.
Trip.com Member,2 sao,2 tháng trước trên,"Trong phòng hỗn hợp, điều hòa không lạnh, phòng tắm bị ngập nước, và cả phòng rất ẩm thấp. Ngay cả sau khi báo cáo, vấn đề vẫn không được giải quyết. Tôi đã đặt hai đêm, nhưng tôi không thể chịu đựng được và đã rời đi ngay ngày đầu tiên! …",Negative,True,Room_Amenities,"Poor air conditioning, flooded bathroom, and high humidity; issues were not resolved by staff."
Trip.com Member,3 sao,2 tháng trước trên,"Tôi ở lại đây trong một chuyến đi ngắn cuối tuần, đến muộn (~8 giờ tối) vào thứ Sáu và rời đi sớm (~6/7 giờ sáng) vào thứ Hai. Vì đây là chuyến đi ngắn ngày do tôi đến xem chung kết VCT Thái Bình Dương tại TP.HCM, nên vị trí chỗ ở rất …",Neutral,False,Location_and_Access,The location was suitable for the guest's specific travel purpose.
Ling Lu,3 sao,3 tháng trước trên,"Vị trí khách sạn khá xa trung tâm thành phố.

Máy lạnh cực kỳ yếu; tôi vẫn đổ mồ hôi dù đã bật máy lạnh. …",Negative,True,Room_Amenities,The location is far from the city center and the air conditioning is extremely weak.
Trip.com Member,3 sao,một năm trước trên,"Nhà nghỉ này có vẻ hướng đến khách lưu trú dài hạn hơn, nên khách ngắn hạn có thể cảm thấy hơi lạc lõng. Phòng tắm thì có thể sạch sẽ hơn. Tuy nhiên, họ có những chú mèo và một chú chó dễ thương.",Neutral,True,Others,"The place feels geared towards long-term guests; cleanliness could be improved, but the pets are a highlight."
Trip.com Member,3 sao,2 năm trước trên,Ký túc xá giá rẻ ở trung tâm thành phố. Chúng ta có thể ở với giá thấp bao gồm bữa sáng.,Positive,False,Pricing_and_Fees,Affordable hostel in the city center with breakfast included.
Alan Watts,3 sao,4 tháng trước trên,Hơi lộn xộn và bừa bộn. Phòng tắm trong phòng hơi bẩn. Dịch vụ không được thân thiện lắm. Không có chỗ đậu xe máy. Mèo thì thân thiện và mềm mại.,Negative,True,Cleanliness,"Messy room, dirty bathroom, unfriendly service, and lack of parking."
Trip.com Member,4 sao,một năm trước trên,"Nhà nghỉ tốt, nhân viên thân thiện. Phải đi bộ một đoạn ngắn đến trung tâm thành phố nhưng như vậy sẽ thoải mái hơn.",Positive,False,Staff_Service,Good hostel with friendly staff and a comfortable location.
Trip.com Member,4 sao,một năm trước trên,"Nếu bạn là người thích sự yên tĩnh, thì nhà nghỉ này là dành cho bạn. Nó chỉ cách quận 1 khoảng 10-15 phút nhưng rất đáng giá. Từ nhân viên đến bà chủ, tất cả đều vô cùng nhiệt tình và thân thiện.",Positive,False,Noise_and_Quietness,Quiet location with very enthusiastic and friendly staff.
yorle carvajal,4 sao,10 tháng trước trên,"Sự đón tiếp từ chủ nhà rất nồng ấm và thân thiện. Nhà nghỉ có bầu không khí yên tĩnh và thoải mái, và những con vật nuôi của họ càng làm cho kỳ nghỉ thêm tuyệt vời — được nhìn thấy chúng khi đến nơi là sự chào đón tốt nhất mà một nhà nghỉ …",Positive,False,Boutique_Experience,"Warm welcome, quiet atmosphere, and lovely pets."
gontakhy h,4 sao,2 năm trước trên,"Cơ sở vật chất mới và giá cả rất hợp lý. Nhân viên nhiệt tình và hỗ trợ. Chú chó Shiba Inu cưng của họ, ""Omochi,"" rất đáng yêu và dễ thương. …",Positive,False,Room_Amenities,"New facilities, reasonable prices, and helpful staff."
Rincevent,4 sao,một năm trước trên,"Giá cả cực kỳ hợp lý cho một phòng nghỉ ở thành phố lớn; phòng nhỏ nhưng đầy đủ tiện nghi. Nhân viên rất dễ thương và nhiệt tình giúp đỡ. Lưu ý rằng bữa sáng không bao gồm cà phê, nhưng điều đó sẽ không làm hỏng kỳ nghỉ của bạn 😉. …",Positive,False,Pricing_and_Fees,"Great value for money, small but well-equipped rooms with friendly staff."
Banioushka,4 sao,2 năm trước trên,"Nhân viên thân thiện, nhiệt tình, chú chó vui tính, phòng riêng nhỏ nhưng sạch sẽ và thoải mái.",Positive,False,Cleanliness,"Friendly staff and clean, comfortable private rooms."
